"Municipal and City Level Small Area Poverty Estimates; 2006, 2009 and 2012",,,,,,,,,,,,,,,,,,,,,,,,,,
Region/Province,,,Municipality/City,,,,,,,Poverty Incidence,,,,,,Coefficient of Variation*,,,,90% Confidence Interval,,,,,,
,,,,,,,,,,,,,,,,,,,,2006,,2009,,2012,,
,,,Bolinao,,,,,,,35.7,,28.7,,12.5,,8.4,9.7,18.0,,30.7,40.6,24.1,33.2,8.8,16.2,
,,,Bugallon,,,,,,,30.1,,24.8,,15.2,,9.5,7.6,14.1,,25.4,34.8,21.6,27.9,11.6,18.7,
,,,Burgos,,,,,,,33.5,,28.7,,9.5,,10.1,9.8,30.6,,27.9,39.0,24.1,33.3,4.7,14.2,
,,,Calasiao,,,,,,,23.1,,17.2,,9.9,,10.7,11.1,18.7,,19.0,27.1,14.1,20.4,6.8,12.9,
,,,Dagupan City,,,,,,,15.7,,13.9,,6.0,,15.9,7.0,20.6,,11.6,19.8,12.3,15.5,3.9,8.0,
,,,Dasol,,,,,,,31.0,,25.3,,17.6,,9.9,9.6,16.9,,26.0,36.0,21.3,29.3,12.7,22.5,
,,,Infanta,,,,,,,39.0,,24.0,,9.5,,9.8,11.0,30.3,,32.7,45.3,19.6,28.3,4.8,14.2,
,,,Labrador,,,,,,,31.7,,18.6,,8.7,,12.2,9.9,25.7,,25.3,38.0,15.5,21.6,5.0,12.4,
,,,Lingayen,,,,,,,24.0,,18.3,,9.4,,11.0,5.8,14.4,,19.6,28.3,16.6,20.1,7.2,11.6,
,,,Mabini,,,,,,,40.3,,21.5,,12.1,,8.8,7.6,20.4,,34.5,46.2,18.8,24.2,8.0,16.2,
,,,Malasiqui,,,,,,,28.2,,24.5,,19.1,,7.2,6.3,9.5,,24.9,31.6,21.9,27.0,16.1,22.1,
,,,Manaoag,,,,,,,22.4,,22.3,,8.9,,10.4,11.2,20.7,,18.5,26.2,18.2,26.4,5.9,11.9,
,,,Mangaldan,,,,,,,22.7,,17.8,,12.5,,9.7,7.0,17.5,,19.1,26.3,15.8,19.9,8.9,16.1,
,,,Mangatarem,,,,,,,30.8,,25.5,,10.6,,6.0,8.0,15.7,,27.7,33.8,22.2,28.8,7.9,13.4,
,,,Mapandan,,,,,,,23.8,,21.3,,12.9,,13.4,10.0,20.7,,18.6,29.0,17.8,24.8,8.5,17.3,
,,,Natividad,,,,,,,19.9,,21.5,,11.9,,14.1,12.8,19.9,,15.3,24.5,17.0,26.1,8.0,15.8,
,,,Possorubio,,,,,,,24.3,,20.0,,15.4,,8.7,7.2,12.6,,20.8,27.8,17.6,22.3,12.2,18.5,
,,,Rosales,,,,,,,26.4,,17.9,,8.8,,8.2,10.4,16.4,,22.8,30.0,14.8,21.0,6.4,11.1,
,,,San Carlos City,,,,,,,29.5,,26.4,,16.0,,6.2,7.3,10.0,,26.5,32.5,23.2,29.6,13.3,18.6,
,,,San Fabian,,,,,,,32.8,,22.1,,11.7,,7.5,10.3,14.6,,28.7,36.8,18.3,25.8,8.9,14.4,
,,,San Jacinto,,,,,,,24.2,,21.1,,13.6,,11.6,12.3,17.6,,19.5,28.8,16.9,25.4,9.7,17.6,
,,,San Manuel,,,,,,,28.2,,21.3,,9.1,,11.7,10.0,26.4,,22.8,33.6,17.8,24.8,5.1,13.0,
,,,San Nicolas,,,,,,,25.3,,18.9,,13.9,,8.3,6.6,16.9,,21.9,28.8,16.8,20.9,10.0,17.8,
,,,San Quintin,,,,,,,26.0,,20.5,,11.8,,11.3,11.2,18.6,,21.2,30.8,16.7,24.3,8.2,15.4,
,,,Santa Barbara,,,,,,,28.2,,20.4,,12.3,,8.4,10.2,15.5,,24.3,32.1,16.9,23.8,9.2,15.5,
,,,Santa Maria,,,,,,,24.2,,18.3,,16.6,,10.5,13.8,17.9,,20.0,28.4,14.1,22.4,11.7,21.5,
,,,Santo Tomas,,,,,,,22.8,,17.5,,13.0,,16.3,6.6,24.3,,16.7,29.0,15.6,19.4,7.8,18.2,
,,,Sison,,,,,,,29.2,,18.9,,7.9,,9.1,8.8,20.1,,24.8,33.5,16.1,21.6,5.3,10.5,
,,,Sual,,,,,,,36.7,,26.7,,11.8,,8.8,4.9,17.8,,31.4,42.0,24.5,28.9,8.3,15.3,
,,,Tayug,,,,,,,15.5,,16.4,,6.7,,16.9,7.3,21.3,,11.2,19.8,14.5,18.4,4.4,9.1,
,,,Umingan,,,,,,,38.5,,22.9,,21.6,,6.5,9.6,9.8,,34.3,42.6,19.3,26.5,18.2,25.1,
,,,Urbiztondo,,,,,,,33.2,,31.7,,13.0,,9.3,9.6,14.4,,28.1,38.3,26.7,36.7,9.9,16.1,
,,,Urdaneta City,,,,,,,18.9,,14.4,,6.8,,11.1,8.4,20.4,,15.5,22.4,12.4,16.3,4.5,9.0,
,,,Villasis,,,,,,,19.4,,17.0,,14.4,,14.0,9.8,19.1,,14.9,23.8,14.3,19.7,9.9,18.9,
,,,Laoac,,,,,,,26.5,,21.0,,14.2,,10.0,5.9,15.2,,22.1,30.9,19.0,23.0,10.6,17.7,
Region II,,,,,,,,,,,,,,,,,,,,,,,,,,
Batanes,,,Basco,,,,,,,4.1,,5.1,,16.9,,49.4,36.8,19.3,,0.8,7.4,2.0,8.2,11.5,22.2,
,,,Itbayat,,,,,,,18.2,,12.6,,34.1,,35.0,33.4,15.2,,7.7,28.6,5.7,19.5,25.6,42.6,
,,,Ivana,,,,,,,21.9,,8.9,,16.4,,54.8,42.2,26.6,,2.1,41.7,2.7,15.1,9.2,23.6,
,,,Mahatao,,,,,,,13.5,,8.9,,21.4,,34.6,42.8,20.1,,5.8,21.2,2.6,15.1,14.4,28.5,
,,,Sabtang,,,,,,,10.0,,11.4,,30.7,,50.0,33.8,15.2,,1.8,18.2,5.1,17.8,23.0,38.3,
,,,Uyugan,,,,,,,6.0,,8.1,,18.1,,54.3,39.6,22.7,,0.6,11.3,2.8,13.3,11.4,24.9,
Cagayan,,,Abulog,,,,,,,18.0,,21.6,,20.9,,17.6,12.1,9.9,,12.8,23.2,17.3,25.9,17.5,24.3,
,,,Alcala,,,,,,,22.3,,21.8,,18.9,,9.7,10.4,12.0,,18.7,25.9,18.1,25.5,15.2,22.6,
,,,Allacapan,,,,,,,23.8,,21.2,,18.0,,16.1,12.4,10.5,,17.5,30.2,16.9,25.5,14.9,21.1,
,,,Amulung,,,,,,,36.7,,27.9,,25.2,,11.5,7.5,10.2,,29.8,43.7,24.4,31.3,20.9,29.4,
,,,Aparri,,,,,,,17.1,,15.4,,21.9,,17.1,11.2,9.2,,12.3,21.9,12.6,18.3,18.5,25.2,
,,,Baggao,,,,,,,30.0,,22.6,,22.0,,8.3,8.6,10.3,,25.9,34.1,19.4,25.8,18.2,25.7,
,,,Ballesteros,,,,,,,16.7,,22.7,,17.9,,15.8,11.1,13.8,,12.4,21.1,18.5,26.9,13.8,22.0,
,,,Buguey,,,,,,,20.8,,22.4,,18.6,,12.4,10.2,10.6,,16.6,25.0,18.6,26.1,15.3,21.8,
,,,Calayan,,,,,,,24.2,,27.7,,47.4,,19.7,14.9,10.9,,16.4,32.1,20.9,34.4,38.9,55.9,
,,,Camalaniugan,,,,,,,19.5,,16.9,,17.1,,13.9,11.5,10.1,,15.0,24.0,13.7,20.1,14.2,19.9,
,,,Claveria,,,,,,,10.8,,15.1,,14.6,,19.3,12.1,11.9,,7.3,14.2,12.1,18.1,11.7,17.4,
,,,Enrile,,,,,,,24.8,,19.8,,19.7,,13.8,11.5,10.7,,19.2,30.5,16.0,23.5,16.2,23.1,
,,,Gattaran,,,,,,,24.6,,19.2,,16.7,,9.5,9.9,11.2,,20.7,28.4,16.1,22.4,13.6,19.8,
,,,Gonzaga,,,,,,,19.9,,16.6,,13.4,,15.2,14.5,12.3,,14.9,24.9,12.6,20.6,10.7,16.1,
,,,Iguig,,,,,,,22.3,,19.5,,14.3,,16.4,11.7,13.6,,16.3,28.3,15.8,23.3,11.1,17.5,
,,,Lal-lo,,,,,,,15.3,,16.7,,15.5,,16.1,13.1,12.6,,11.2,19.3,13.1,20.3,12.3,18.8,
,,,Lasam,,,,,,,18.5,,18.2,,13.6,,12.1,11.8,11.8,,14.8,22.2,14.7,21.8,11.0,16.3,
,,,Pamplona,,,,,,,19.7,,20.7,,26.7,,17.9,12.4,10.3,,13.9,25.5,16.4,24.9,22.2,31.3,
,,,Penablanca,,,,,,,24.5,,18.2,,20.1,,16.1,13.0,9.1,,18.0,31.0,14.3,22.1,17.1,23.1,
,,,Piat,,,,,,,29.3,,22.5,,15.6,,13.7,12.5,14.6,,22.7,35.8,17.9,27.1,11.8,19.3,
,,,Rizal,,,,,,,28.1,,26.1,,18.8,,11.8,10.9,11.0,,22.7,33.5,21.5,30.8,15.4,22.2,
,,,Sanchez-Mira,,,,,,,12.8,,13.4,,17.2,,18.0,16.6,11.7,,9.0,16.6,9.8,17.1,13.9,20.5,
,,,Santa Ana,,,,,,,14.7,,16.3,,20.6,,25.4,16.2,12.3,,8.6,20.9,12.0,20.7,16.5,24.8,
,,,Santa Praxedes,,,,,,,12.2,,17.2,,17.5,,29.8,21.4,19.5,,6.2,18.2,11.1,23.2,11.9,23.1,
,,,Santa Teresita,,,,,,,18.6,,18.6,,16.2,,16.3,16.5,12.3,,13.6,23.6,13.6,23.7,12.9,19.4,
,,,Santo Nino,,,,,,,28.0,,26.3,,22.1,,12.1,11.2,11.3,,22.4,33.6,21.5,31.2,18.0,26.2,
,,,Solana,,,,,,,32.8,,22.5,,22.7,,11.5,8.8,8.5,,26.6,39.0,19.3,25.8,19.5,25.9,
,,,Tuao,,,,,,,32.3,,22.7,,17.9,,12.4,10.2,11.5,,25.7,38.9,18.9,26.5,14.5,21.3,
,,,Tuguegarao City,,,,,,,7.7,,8.5,,9.3,,27.0,12.9,11.8,,4.3,11.1,6.7,10.3,7.5,11.1,
Isabela,,,Alicia,,,,,,,18.3,,17.2,,15.2,,11.1,11.8,13.2,,15.0,21.6,13.8,20.5,11.9,18.5,
,,,Angadanan,,,,,,,26.9,,18.9,,17.6,,11.1,9.4,9.0,,22.0,31.9,16.0,21.8,15.0,20.2,
,,,Aurora,,,,,,,15.9,,16.4,,13.1,,14.2,11.9,14.0,,12.1,19.6,13.2,19.6,10.1,16.1,
,,,Benito Soliven,,,,,,,32.0,,25.4,,23.6,,15.5,11.3,9.3,,23.9,40.2,20.7,30.1,20.0,27.2,
,,,Burgos,,,,,,,19.1,,18.2,,14.0,,15.7,18.1,18.1,,14.1,24.0,12.8,23.6,9.8,18.2,
,,,Cabagan,,,,,,,22.9,,16.6,,19.3,,13.6,11.0,12.1,,17.8,28.0,13.6,19.5,15.5,23.2,
,,,Cabatuan,,,,,,,13.7,,12.7,,14.2,,15.5,16.8,15.0,,10.2,17.2,9.2,16.3,10.7,17.6,
,,,Cauayan City,,,,,,,16.8,,15.9,,17.3,,11.4,9.6,9.4,,13.7,20.0,13.4,18.4,14.6,20.0,
,,,Cordon,,,,,,,20.4,,16.3,,18.6,,12.5,12.4,11.4,,16.2,24.6,13.0,19.6,15.1,22.1,
,,,Dinapigue,,,,,,,13.6,,13.8,,25.8,,39.2,35.3,19.7,,4.8,22.3,5.8,21.7,17.5,34.2,
,,,Divilican,,,,,,,25.3,,23.6,,45.7,,26.7,17.4,12.4,,14.2,36.4,16.8,30.3,36.4,55.0,
,,,Echague,,,,,,,20.4,,15.2,,17.5,,9.1,9.2,7.5,,17.3,23.4,12.9,17.5,15.3,19.6,
,,,Gamu,,,,,,,14.8,,14.8,,16.2,,18.1,17.7,13.5,,10.4,19.2,10.5,19.1,12.6,19.8,
,,,Ilagan City,,,,,,,21.6,,15.3,,17.9,,10.1,8.3,7.7,,18.0,25.1,13.2,17.4,15.6,20.1,
,,,Jones,,,,,,,20.5,,15.5,,12.6,,13.9,13.7,14.3,,15.8,25.2,12.0,19.0,9.6,15.5,
,,,Luna,,,,,,,16.1,,13.8,,10.4,,15.2,16.2,21.7,,12.1,20.1,10.2,17.5,6.7,14.1,
,,,Maconacon,,,,,,,10.1,,9.9,,29.3,,29.0,24.3,15.3,,5.3,14.9,5.9,13.8,21.9,36.6,
,,,Delfin Albano,,,,,,,19.1,,19.9,,16.3,,12.0,11.2,11.9,,15.4,22.9,16.2,23.5,13.1,19.5,
,,,Mallig,,,,,,,23.6,,23.8,,18.7,,13.1,11.4,12.1,,18.5,28.7,19.3,28.3,14.9,22.4,
,,,Naguilian,,,,,,,22.9,,18.7,,19.2,,11.6,10.5,9.9,,18.5,27.2,15.4,21.9,16.1,22.4,
,,,Palanan,,,,,,,21.3,,19.8,,48.6,,19.6,14.9,10.5,,14.4,28.2,14.9,24.6,40.2,57.0,
,,,Quezon,,,,,,,21.4,,23.8,,24.2,,13.9,14.2,11.9,,16.5,26.3,18.2,29.4,19.5,28.9,
,,,Quirino,,,,,,,24.8,,20.4,,15.9,,14.8,10.8,13.4,,18.7,30.8,16.8,24.0,12.4,19.4,
,,,Ramon,,,,,,,15.7,,16.3,,18.1,,17.3,13.1,11.6,,11.2,20.2,12.8,19.8,14.6,21.5,
,,,Reina Mercedes,,,,,,,23.5,,14.0,,16.2,,15.3,17.9,13.2,,17.6,29.4,9.9,18.1,12.7,19.8,
,,,Roxas,,,,,,,16.1,,15.8,,15.6,,14.3,13.2,12.0,,12.3,19.9,12.4,19.3,12.5,18.7,
,,,San Agustin,,,,,,,19.6,,11.8,,14.6,,13.7,17.1,14.5,,15.2,24.0,8.5,15.1,11.1,18.1,
,,,San Guillermo,,,,,,,36.1,,21.6,,27.6,,18.2,11.6,12.0,,25.3,46.9,17.5,25.7,22.2,33.0,
,,,San Isidro,,,,,,,18.5,,17.3,,14.6,,15.6,15.6,13.8,,13.7,23.2,12.9,21.7,11.3,18.0,
,,,San Manuel,,,,,,,22.7,,20.5,,16.2,,12.9,11.9,12.6,,17.9,27.5,16.5,24.5,12.8,19.5,
,,,San Mariano,,,,,,,29.8,,24.2,,30.6,,15.0,8.3,7.1,,22.4,37.2,20.9,27.5,27.0,34.2,
,,,San Mateo,,,,,,,14.3,,14.6,,12.7,,13.9,14.2,14.3,,11.0,17.5,11.2,18.1,9.7,15.7,
,,,San Pablo,,,,,,,24.9,,19.7,,24.4,,14.8,16.7,13.5,,18.8,30.9,14.3,25.1,19.0,29.8,
,,,Santa Maria,,,,,,,28.3,,24.4,,31.3,,14.4,11.8,10.3,,21.6,35.0,19.6,29.2,26.0,36.6,
,,,Santiago City,,,,,,,9.8,,10.8,,15.0,,22.1,14.3,11.3,,6.2,13.3,8.3,13.4,12.2,17.8,
,,,Santo Tomas,,,,,,,23.5,,18.5,,23.4,,14.5,12.9,10.0,,17.9,29.1,14.5,22.4,19.5,27.2,
,,,Tumaini,,,,,,,23.8,,19.8,,20.3,,10.6,9.0,8.5,,19.6,28.0,16.8,22.7,17.5,23.2,
Nueva Vizcaya,,,Ambaguio,,,,,,,17.8,,15.5,,38.9,,25.3,25.1,14.1,,10.4,25.2,9.1,21.9,29.9,47.9,
,,,Aritao,,,,,,,12.7,,16.2,,11.9,,19.0,13.1,16.8,,8.7,16.7,12.7,19.7,8.6,15.2,
,,,Bagabag,,,,,,,12.9,,13.4,,9.8,,16.8,16.2,20.5,,9.3,16.5,9.8,16.9,6.5,13.1,
,,,Bambang,,,,,,,10.8,,11.3,,10.3,,15.8,13.6,14.1,,8.0,13.6,8.8,13.8,7.9,12.7,
,,,Bayombong,,,,,,,7.1,,8.6,,8.7,,22.9,16.7,14.8,,4.4,9.7,6.3,11.0,6.6,10.9,
,,,Diadi,,,,,,,18.8,,17.6,,16.5,,14.8,12.1,13.6,,14.2,23.4,14.0,21.1,12.8,20.2,
,,,Dupax del Norte,,,,,,,16.5,,11.4,,14.6,,18.2,21.6,13.3,,11.5,21.4,7.4,15.4,11.4,17.7,
,,,Dupax del Sur,,,,,,,15.0,,15.4,,17.0,,20.5,16.4,12.5,,9.9,20.1,11.2,19.6,13.5,20.5,
,,,Kasibu,,,,,,,15.8,,13.6,,22.8,,18.4,15.5,12.2,,11.0,20.6,10.1,17.1,18.2,27.3,
,,,Kayapa,,,,,,,15.8,,16.1,,32.9,,19.5,14.9,10.9,,10.7,20.8,12.2,20.1,27.0,38.8,
,,,Quezon,,,,,,,18.5,,16.6,,21.0,,17.9,19.6,14.9,,13.1,24.0,11.2,22.0,15.9,26.2,
,,,Santa Fe,,,,,,,15.2,,11.4,,23.7,,33.4,23.1,13.4,,6.8,23.5,7.1,15.8,18.4,28.9,
,,,Solano,,,,,,,6.9,,10.1,,9.5,,20.8,17.3,16.6,,4.5,9.2,7.2,12.9,6.9,12.1,
,,,Villaverde,,,,,,,12.3,,11.1,,9.6,,25.1,24.4,22.3,,7.2,17.3,6.6,15.5,6.1,13.1,
,,,Alfonso Castaneda,,,,,,,14.1,,14.0,,33.5,,27.4,33.1,19.1,,7.8,20.5,6.4,21.6,22.9,44.0,
Quirino,,,Aglipay,,,,,,,22.0,,16.3,,18.2,,14.3,14.8,12.2,,16.9,27.2,12.4,20.3,14.5,21.8,
,,,Cobarronguis,,,,,,,12.1,,11.8,,15.2,,21.0,19.5,14.9,,7.9,16.2,8.0,15.5,11.5,18.9,
,,,Diffun,,,,,,,23.0,,17.5,,15.8,,12.6,10.6,11.0,,18.2,27.7,14.4,20.5,12.9,18.6,
,,,Madella,,,,,,,17.5,,14.4,,13.7,,15.4,13.9,12.8,,13.1,21.9,11.1,17.7,10.8,16.6,
,,,Saguday,,,,,,,20.1,,18.8,,12.6,,16.8,17.5,22.0,,14.6,25.7,13.4,24.1,8.0,17.2,
,,,Nagtipunan,,,,,,,23.4,,15.4,,26.2,,22.6,20.1,13.4,,14.7,32.1,10.3,20.5,20.4,32.0,
Region III,,,,,,,,,,,,,,,,,,,,,,,,,,
Bataan,,,Abucay,,,,,,,8.7,,7.0,,4.0,,24.9,29.5,25.8,,5.2,12.3,3.6,10.4,2.3,5.6,
,,,Bagac,,,,,,,15.7,,19.7,,9.4,,21.0,16.8,13.4,,10.3,21.1,14.2,25.1,7.3,11.4,
,,,Balanga City,,,,,,,7.8,,5.9,,4.3,,21.4,21.1,18.2,,5.0,10.5,3.8,7.9,3.0,5.6,
,,,Dinalupihan,,,,,,,12.6,,11.7,,5.7,,16.5,16.2,14.1,,9.2,16.1,8.6,14.9,4.4,7.1,
,,,Hermosa,,,,,,,13.5,,12.6,,10.7,,18.1,16.0,10.9,,9.5,17.5,9.3,15.9,8.8,12.6,
,,,Limay,,,,,,,6.6,,7.4,,5.8,,34.5,32.5,19.4,,2.8,10.3,3.4,11.3,3.9,7.6,
,,,Mariveles,,,,,,,12.1,,7.2,,2.6,,18.3,24.7,21.8,,8.5,15.8,4.3,10.1,1.6,3.5,
,,,Morong,,,,,,,16.1,,20.8,,12.7,,28.0,22.9,17.8,,8.7,23.5,13.0,28.7,9.0,16.4,
,,,Orani,,,,,,,11.3,,10.4,,7.4,,16.0,17.6,14.4,,8.3,14.2,7.4,13.4,5.6,9.1,
,,,Orion,,,,,,,9.5,,9.5,,9.8,,19.9,19.0,12.6,,6.4,12.7,6.6,12.5,7.8,11.9,
,,,Pilar,,,,,,,7.2,,8.9,,7.7,,23.5,23.0,15.7,,4.4,10.0,5.5,12.2,5.7,9.6,
,,,Samal,,,,,,,15.3,,12.0,,4.6,,21.2,18.0,16.4,,9.9,20.6,8.4,15.5,3.3,5.8,
Bulacan,,,Angat,,,,,,,11.4,,7.8,,7.2,,19.9,24.9,17.2,,7.6,15.1,4.6,10.9,5.1,9.2,
,,,Balagtas,,,,,,,4.7,,5.5,,4.2,,38.3,33.9,29.4,,1.7,7.6,2.4,8.5,2.2,6.2,
,,,Baliuag,,,,,,,4.3,,5.7,,5.4,,29.1,22.6,15.3,,2.3,6.4,3.6,7.8,4.0,6.7,
,,,Bocaue,,,,,,,4.0,,3.4,,4.2,,38.5,40.6,23.0,,1.5,6.6,1.1,5.7,2.6,5.8,
,,,Bulacan,,,,,,,5.2,,3.6,,5.7,,33.2,36.9,18.8,,2.4,8.1,1.4,5.8,3.9,7.5,
,,,Bustos,,,,,,,10.0,,8.1,,5.9,,25.7,24.3,18.6,,5.8,14.3,4.9,11.4,4.1,7.7,
,,,Calumpit,,,,,,,5.3,,6.4,,5.2,,19.2,22.8,17.6,,3.6,6.9,4.0,8.8,3.7,6.7,
,,,Guiguinto,,,,,,,5.0,,4.1,,4.3,,28.2,31.3,26.6,,2.7,7.4,2.0,6.2,2.4,6.2,
,,,Hagonoy,,,,,,,6.7,,8.6,,8.6,,22.5,18.4,12.4,,4.2,9.2,6.0,11.3,6.8,10.3,
,,,Malolos City,,,,,,,3.6,,5.2,,4.1,,24.0,15.5,13.6,,2.2,5.1,3.9,6.5,3.2,5.0,
,,,Marilao,,,,,,,6.6,,3.4,,2.8,,26.1,37.1,30.0,,3.8,9.5,1.3,5.4,1.4,4.2,
,,,Meycauayan City,,,,,,,4.2,,4.5,,1.7,,28.3,27.9,30.4,,2.2,6.1,2.4,6.6,0.9,2.6,
,,,Norzagaray,,,,,,,10.2,,10.0,,6.7,,33.1,24.0,23.0,,4.6,15.7,6.1,13.9,4.2,9.2,
,,,Obando,,,,,,,6.2,,6.8,,4.1,,32.9,30.8,27.8,,2.8,9.5,3.4,10.3,2.2,5.9,
,,,Pandi,,,,,,,14.1,,7.6,,6.9,,18.1,22.0,16.4,,9.9,18.2,4.8,10.3,5.0,8.7,
,,,Paombong,,,,,,,7.6,,7.1,,10.4,,28.2,25.5,14.7,,4.0,11.1,4.1,10.1,7.9,12.9,
,,,Plaridel,,,,,,,5.2,,5.0,,6.0,,27.3,29.4,15.0,,2.9,7.5,2.6,7.4,4.5,7.5,
,,,Pulilan,,,,,,,10.6,,6.9,,4.8,,20.2,20.8,16.7,,7.1,14.2,4.6,9.3,3.5,6.1,
,,,San Idelfonso,,,,,,,18.2,,12.3,,11.9,,11.9,12.0,8.7,,14.6,21.7,9.9,14.8,10.2,13.7,
,,,San Jose Del Monte City,,,,,,,5.0,,5.8,,5.1,,18.8,19.0,17.5,,3.5,6.5,4.0,7.6,3.7,6.6,
,,,San Miguel,,,,,,,13.8,,11.8,,12.6,,13.3,13.5,8.9,,10.8,16.9,9.2,14.4,10.7,14.4,
,,,San Rafael,,,,,,,11.4,,8.3,,7.3,,16.6,16.3,13.6,,8.3,14.5,6.1,10.5,5.7,8.9,
,,,Santa Maria,,,,,,,5.6,,5.0,,4.1,,21.5,26.2,19.0,,3.6,7.5,2.8,7.1,2.8,5.4,
,,,Dona Remedios Trinidad,,,,,,,48.3,,35.2,,24.6,,15.0,15.4,13.4,,36.4,60.1,26.3,44.1,19.2,30.0,
Nueva Ecija,,,Allaga,,,,,,,30.5,,25.4,,19.0,,13.1,14.2,9.8,,23.9,37.1,19.5,31.4,15.9,22.1,
,,,Bongabon,,,,,,,29.5,,21.7,,16.5,,9.3,13.0,9.2,,25.0,34.1,17.1,26.4,14.0,19.0,
,,,Cabanatuan City,,,,,,,12.2,,10.9,,10.6,,9.8,9.9,8.4,,10.2,14.2,9.1,12.7,9.1,12.1,
,,,Cabiao,,,,,,,17.2,,15.2,,15.2,,15.7,16.4,12.9,,12.8,21.7,11.1,19.3,12.0,18.4,
,,,Carranglan,,,,,,,38.4,,32.3,,28.8,,11.5,12.4,8.0,,31.2,45.7,25.7,38.9,25.0,32.6,
,,,Cuyapo,,,,,,,26.1,,27.2,,21.3,,9.4,8.9,7.4,,22.1,30.2,23.3,31.2,18.7,23.9,
,,,Gabaldon,,,,,,,32.4,,29.2,,24.1,,12.1,11.6,8.2,,26.0,38.8,23.7,34.8,20.9,27.4,
,,,Gapan City,,,,,,,14.9,,14.0,,12.5,,16.5,14.3,11.8,,10.9,18.9,10.7,17.3,10.0,14.9,
,,,Gen Mamerio Natividad,,,,,,,33.2,,26.8,,18.1,,12.9,11.4,8.6,,26.2,40.3,21.8,31.8,15.5,20.6,
,,,Gen Tinio,,,,,,,19.7,,15.7,,15.4,,24.8,20.8,13.2,,11.7,27.7,10.3,21.1,12.0,18.7,
,,,Guimba,,,,,,,35.1,,25.2,,20.7,,9.5,9.1,7.3,,29.6,40.6,21.4,28.9,18.2,23.2,
,,,Jaen,,,,,,,22.5,,19.0,,17.7,,11.9,14.2,9.2,,18.1,26.9,14.5,23.4,15.0,20.4,
,,,Laur,,,,,,,30.5,,31.2,,25.4,,11.6,11.1,8.4,,24.6,36.3,25.5,36.9,21.9,28.9,
,,,Licab,,,,,,,22.2,,25.5,,16.3,,15.8,16.1,11.3,,16.4,27.9,18.8,32.3,13.3,19.4,
,,,Llanera,,,,,,,32.1,,25.7,,18.0,,12.6,11.8,8.6,,25.4,38.8,20.7,30.8,15.5,20.5,
,,,Lupao,,,,,,,34.6,,26.4,,18.9,,10.8,12.3,10.6,,28.5,40.8,21.1,31.8,15.6,22.2,
,,,Munoz City,,,,,,,26.0,,21.4,,15.1,,10.4,12.0,8.7,,21.5,30.4,17.1,25.6,12.9,17.3,
,,,Nampicuan,,,,,,,28.1,,25.8,,16.3,,14.6,12.9,10.8,,21.3,34.8,20.3,31.3,13.4,19.2,
,,,Palayan City,,,,,,,15.4,,16.0,,16.9,,17.0,13.0,9.8,,11.1,19.6,12.6,19.4,14.2,19.7,
,,,Pantabangan,,,,,,,34.1,,21.8,,19.5,,12.8,14.5,9.3,,26.9,41.3,16.6,27.1,16.5,22.5,
,,,Penafranda,,,,,,,16.4,,11.3,,15.0,,23.5,27.1,15.3,,10.0,22.7,6.3,16.3,11.2,18.8,
,,,Quezon,,,,,,,29.2,,26.7,,24.1,,12.9,12.2,9.1,,23.0,35.4,21.4,32.1,20.5,27.7,
,,,Rizal,,,,,,,30.2,,19.3,,18.2,,10.9,12.5,9.0,,24.8,35.6,15.4,23.3,15.5,20.9,
,,,San Antonio,,,,,,,23.4,,17.2,,18.1,,17.5,18.9,10.8,,16.7,30.1,11.9,22.6,14.8,21.3,
,,,San Isidro,,,,,,,14.6,,11.8,,12.6,,20.9,22.5,14.5,,9.6,19.6,7.4,16.1,9.6,15.6,
,,,San Jose City,,,,,,,24.5,,19.1,,14.2,,13.1,11.7,8.8,,19.2,29.8,15.5,22.8,12.1,16.2,
,,,San Leonardo,,,,,,,19.8,,13.6,,12.2,,17.4,18.6,14.0,,14.1,25.5,9.5,17.8,9.4,15.0,
,,,Santa Rosa,,,,,,,24.6,,15.0,,15.6,,11.5,13.0,9.7,,20.0,29.3,11.8,18.2,13.1,18.1,
,,,Santo Domingo,,,,,,,30.8,,20.3,,18.7,,13.8,12.3,10.1,,23.8,37.8,16.2,24.4,15.6,21.8,
,,,Talavera,,,,,,,21.2,,18.3,,17.4,,11.4,10.1,7.1,,17.2,25.2,15.3,21.3,15.4,19.4,
,,,Talugtug,,,,,,,42.2,,36.0,,28.5,,10.2,8.3,6.2,,35.1,49.3,31.1,40.9,25.6,31.4,
,,,Zaragoza,,,,,,,20.2,,19.3,,18.2,,15.0,13.6,8.8,,15.3,25.2,15.0,23.6,15.6,20.9,
Pampanga,,,Angeles City,,,,,,,5.5,,5.0,,1.3,,19.3,22.4,30.8,,3.8,7.3,3.2,6.9,0.7,2.0,
,,,Apalit,,,,,,,9.6,,9.1,,4.0,,24.3,22.7,26.5,,5.8,13.4,5.7,12.5,2.3,5.8,
,,,Arayat,,,,,,,9.4,,8.7,,7.3,,20.6,18.3,15.7,,6.2,12.6,6.1,11.3,5.4,9.2,
,,,Bacolor,,,,,,,5.5,,6.2,,4.4,,38.0,28.3,23.9,,2.0,8.9,3.3,9.1,2.6,6.1,
,,,Candaba,,,,,,,22.5,,17.7,,6.6,,13.3,15.3,13.9,,17.6,27.4,13.2,22.1,5.1,8.1,
