"Table 2.  Household Population, Number of Households and Average Household Size ",,,,
"by Region, Province, City, and Municipality: Philippines, 2015",,,,
,,,,
"Region, Province, City, and Municipality",,Household Population,Number of Households,Average Household Size 
AGDANGAN,,"12,849","3,171", 4.1 
ALABAT,,"15,618","3,566", 4.4 
ATIMONAN,,"63,387","15,001", 4.2 
BUENAVISTA,,"29,963","6,765", 4.4 
BURDEOS,,"26,760","5,652", 4.7 
CALAUAG,,"73,043","16,881", 4.3 
CANDELARIA,,"117,244","28,055", 4.2 
CATANAUAN,,"71,038","15,334", 4.6 
DOLORES,,"28,832","6,510", 4.4 
GENERAL LUNA,,"26,467","5,680", 4.7 
GENERAL NAKAR,,"29,667","6,451", 4.6 
GUINAYANGAN,,"45,144","10,304", 4.4 
GUMACA,,"73,275","18,445", 4.0 
INFANTA,,"68,972","16,449", 4.2 
JOMALIG,,"7,404","1,532", 4.8 
LOPEZ,,"95,052","20,863", 4.6 
LUCBAN,,"50,796","11,969", 4.2 
MACALELON,,"28,091","5,931", 4.7 
MAUBAN,,"63,787","15,381", 4.1 
MULANAY,,"53,047","11,718", 4.5 
PADRE BURGOS,,"22,459","5,182", 4.3 
PAGBILAO,,"74,156","17,284", 4.3 
PANUKULAN,,"13,524","2,891", 4.7 
PATNANUNGAN,,"14,580","3,287", 4.4 
PEREZ,,"12,170","2,776", 4.4 
PITOGO,,"23,019","5,222", 4.4 
PLARIDEL,,"10,927","2,380", 4.6 
POLILLO,,"29,995","6,965", 4.3 
QUEZON,,"15,220","3,681", 4.1 
REAL,,"35,965","8,015", 4.5 
SAMPALOC,,"13,850","3,035", 4.6 
SAN ANDRES,,"35,733","8,745", 4.1 
SAN ANTONIO,,"33,417","7,383", 4.5 
SAN FRANCISCO (AURORA),,"61,406","13,903", 4.4 
SAN NARCISO,,"48,414","10,700", 4.5 
SARIAYA,,"148,790","34,592", 4.3 
TAGKAWAYAN,,"51,739","11,645", 4.4 
CITY OF TAYABAS,,"99,671","23,837", 4.2 
TIAONG,,"99,465","22,366", 4.4 
UNISAN,,"26,856","6,290", 4.3 
,,,,
LUCENA CITY (Capital),,"265,011","59,836", 4.4 
,,,,
RIZAL,,"2,877,509","652,605", 4.4 
ANGONO,,"113,114","25,325", 4.5 
CITY OF ANTIPOLO,,"774,734","170,523", 4.5 
BARAS,,"69,150","16,706", 4.1 
BINANGONAN,,"282,213","69,786", 4.0 
CAINTA,,"321,426","71,463", 4.5 
CARDONA,,"48,926","12,114", 4.0 
JALA-JALA,,"32,117","6,919", 4.6 
RODRIGUEZ (MONTALBAN),,"368,716","82,348", 4.5 
MORONG,,"58,008","13,180", 4.4 
PILILLA,,"64,715","14,734", 4.4 
SAN MATEO,,"252,105","56,379", 4.5 
TANAY,,"116,503","25,836", 4.5 
TAYTAY,,"318,576","73,835", 4.3 
TERESA,,"57,206","13,457", 4.3 
,,,,
REGION IV-B (MIMAROPA),,"2,946,505","682,668", 4.3 
,,,,
MARINDUQUE,,"234,031","54,508", 4.3 
BOAC (Capital),,"54,384","12,679", 4.3 
BUENAVISTA,,"23,986","5,312", 4.5 
GASAN,,"34,801","8,070", 4.3 
MOGPOG,,"34,030","8,241", 4.1 
SANTA CRUZ,,"56,318","13,340", 4.2 
TORRIJOS,,"30,512","6,866", 4.4 
,,,,
OCCIDENTAL MINDORO,,"483,472","111,714", 4.3 
ABRA DE ILOG,,"31,180","7,329", 4.3 
CALINTAAN,,"29,780","6,451", 4.6 
LOOC,,"10,103","2,421", 4.2 
LUBANG,,"18,744","4,777", 3.9 
MAGSAYSAY,,"36,011","7,819", 4.6 
MAMBURAO (Capital),,"42,769","10,025", 4.3 
PALUAN,,"15,920","3,603", 4.4 
RIZAL,,"38,262","8,468", 4.5 
SABLAYAN,,"80,610","18,558", 4.3 
SAN JOSE,,"142,762","33,208", 4.3 
SANTA CRUZ,,"37,331","9,055", 4.1 
,,,,
ORIENTAL MINDORO,,"841,608","190,763", 4.4 
BACO,,"37,182","8,326", 4.5 
BANSUD,,"40,859","9,250", 4.4 
BONGABONG,,"71,909","16,753", 4.3 
BULALACAO (SAN PEDRO),,"39,044","8,542", 4.6 
CITY OF CALAPAN (Capital),,"132,864","30,734", 4.3 
GLORIA,,"45,011","10,366", 4.3 
MANSALAY,,"54,487","11,286", 4.8 
NAUJAN,,"102,903","23,348", 4.4 
PINAMALAYAN,,"85,948","19,551", 4.4 
POLA,,"34,699","8,192", 4.2 
PUERTO GALERA,,"36,311","8,322", 4.4 
ROXAS,,"53,033","11,719", 4.5 
SAN TEODORO,,"17,882","4,058", 4.4 
SOCORRO,,"39,044","9,108", 4.3 
VICTORIA,,"50,432","11,208", 4.5 
,,,,
PALAWAN (excluding PUERTO PRINCESA CITY),,"845,650","195,074", 4.3 
ABORLAN,,"35,004","8,294", 4.2 
AGUTAYA,,"12,492","3,045", 4.1 
ARACELI,,"14,895","3,294", 4.5 
BALABAC,,"39,853","8,445", 4.7 
BATARAZA,,"75,174","17,983", 4.2 
BROOKE'S POINT,,"66,310","15,474", 4.3 
BUSUANGA,,"21,858","5,051", 4.3 
CAGAYANCILLO,,"6,275","1,184", 5.3 
CORON,,"51,246","11,512", 4.5 
CUYO,,"22,184","5,103", 4.3 
DUMARAN,,"23,684","5,812", 4.1 
EL NIDO (BACUIT),,"41,319","9,490", 4.4 
LINAPACAN,,"15,593","3,370", 4.6 
MAGSAYSAY,,"12,196","2,733", 4.5 
NARRA,,"72,992","16,922", 4.3 
QUEZON,,"60,755","13,941", 4.4 
ROXAS,,"65,167","15,377", 4.2 
SAN VICENTE,,"31,147","6,711", 4.6 
TAYTAY,,"74,463","16,137", 4.6 
KALAYAAN,,96,31, 3.1 
CULION,,"20,070","4,652", 4.3 
RIZAL (MARCOS),,"50,040","12,826", 3.9 
SOFRONIO ESPA„OLA,,"32,837","7,687", 4.3 
,,,,
PUERTO PRINCESA CITY (Capital),,"250,175","62,247", 4.0 
,,,,
ROMBLON,,"291,569","68,362", 4.3 
ALCANTARA,,"16,343","3,673", 4.4 
BANTON,,"5,531","1,420", 3.9 
CAJIDIOCAN,,"21,849","4,983", 4.4 
CALATRAVA,,"10,274","2,334", 4.4 
CONCEPCION,,"4,036","1,048", 3.9 
CORCUERA,,"10,271","2,471", 4.2 
LOOC,,"22,243","5,380", 4.1 
MAGDIWANG,,"14,133","3,079", 4.6 
ODIONGAN,,"44,638","11,460", 3.9 
ROMBLON (Capital),,"38,466","8,997", 4.3 
SAN AGUSTIN,,"22,541","5,273", 4.3 
SAN ANDRES,,"15,589","3,550", 4.4 
SAN FERNANDO,,"23,244","5,055", 4.6 
SAN JOSE,,"10,848","2,392", 4.5 
SANTA FE,,"16,094","3,711", 4.3 
FERROL,,"6,963","1,656", 4.2 
SANTA MARIA (IMELDA),,"8,506","1,880", 4.5 
,,,,
REGION V (BICOL REGION),,"5,780,963","1,216,421", 4.8 
,,,,
ALBAY,,"1,312,309","277,127", 4.7 
BACACAY,,"68,904","14,365", 4.8 
CAMALIG,,"66,875","14,788", 4.5 
DARAGA (LOCSIN),,"126,022","27,648", 4.6 
GUINOBATAN,,"82,237","18,239", 4.5 
JOVELLAR,,"17,305","3,812", 4.5 
LEGAZPI CITY (Capital),,"195,872","41,742", 4.7 
LIBON,,"75,165","15,528", 4.8 
CITY OF LIGAO,,"111,241","22,552", 4.9 
MALILIPOT,,"37,761","8,104", 4.7 
MALINAO,,"45,210","9,765", 4.6 
MANITO,,"24,707","5,101", 4.8 
OAS,,"67,925","14,068", 4.8 
PIO DURAN,,"46,673","9,467", 4.9 
POLANGUI,,"87,996","18,313", 4.8 
RAPU-RAPU,,"36,910","7,401", 5.0 
SANTO DOMINGO (LIBOG),,"34,930","7,516", 4.6 
CITY OF TABACO,,"133,508","27,702", 4.8 
TIWI,,"53,068","11,016", 4.8 
,,,,
CAMARINES NORTE,,"581,809","129,999", 4.5 
BASUD,,"40,991","9,123", 4.5 
CAPALONGA,,"32,213","7,169", 4.5 
DAET (Capital),,"104,175","23,270", 4.5 
SAN LORENZO RUIZ (IMELDA),,"14,063","3,184", 4.4 
JOSE PANGANIBAN,,"59,593","13,855", 4.3 
LABO,,"100,369","22,256", 4.5 
MERCEDES,,"50,821","10,899", 4.7 
PARACALE,,"59,147","13,176", 4.5 
SAN VICENTE,,"10,390","2,400", 4.3 
SANTA ELENA,,"40,763","9,214", 4.4 
TALISAY,,"25,841","5,803", 4.5 
VINZONS,,"43,443","9,650", 4.5 
,,,,
CAMARINES SUR,,"1,947,487","400,615", 4.9 
BAAO,,"58,784","11,443", 5.1 
BALATAN,,"30,900","5,881", 5.3 
BATO,,"52,132","9,869", 5.3 
BOMBON,,"16,512","3,461", 4.8 
BUHI,,"77,124","16,541", 4.7 
BULA,,"69,407","13,589", 5.1 
CABUSAO,,"18,374","3,902", 4.7 
CALABANGA,,"82,901","17,211", 4.8 
CAMALIGAN,,"24,072","4,848", 5.0 
CANAMAN,,"33,991","7,103", 4.8 
CARAMOAN,,"47,534","9,946", 4.8 
DEL GALLEGO,,"25,350","5,249", 4.8 
GAINZA,,"11,252","2,251", 5.0 
GARCHITORENA,,"27,009","5,216", 5.2 
GOA,,"63,198","12,842", 4.9 
IRIGA CITY,,"111,225","21,840", 5.1 
LAGONOY,,"55,452","11,312", 4.9 
LIBMANAN,,"108,592","23,629", 4.6 
LUPI,,"32,109","7,013", 4.6 
MAGARAO,,"25,675","5,333", 4.8 
MILAOR,,"31,088","6,324", 4.9 
MINALABAC,,"52,390","10,313", 5.1 
NABUA,,"83,719","16,625", 5.0 
NAGA CITY,,"194,348","42,152", 4.6 
OCAMPO,,"45,934","9,322", 4.9 
PAMPLONA,,"36,378","7,583", 4.8 
PASACAO,,"49,000","9,948", 4.9 
PILI (Capital),,"88,441","18,178", 4.9 
PRESENTACION (PARUBCAN),,"20,985","4,048", 5.2 
RAGAY,,"58,194","12,496", 4.7 
SAG„AY,,"34,499","6,981", 4.9 
SAN FERNANDO,,"35,089","7,246", 4.8 
SAN JOSE,,"40,569","8,684", 4.7 
SIPOCOT,,"64,748","13,531", 4.8 
SIRUMA,,"17,764","3,780", 4.7 
TIGAON,,"55,189","11,600", 4.8 
TINAMBAC,,"67,559","13,325", 5.1 
,,,,
CATANDUANES,,"258,874","53,814", 4.8 
BAGAMANOC,,"11,494","2,410", 4.8 
BARAS,,"12,774","2,818", 4.5 
BATO,,"21,256","4,563", 4.7 
CARAMORAN,,"30,017","5,893", 5.1 
GIGMOTO,,"8,367","1,749", 4.8 
PANDAN,,"20,468","4,208", 4.9 
PANGANIBAN (PAYO),,"9,250","2,011", 4.6 
SAN ANDRES (CALOLBON),,"36,514","7,710", 4.7 
SAN MIGUEL,,"14,924","3,052", 4.9 
VIGA,,"21,559","4,332", 5.0 
VIRAC (Capital),,"72,251","15,068", 4.8 
,,,,
MASBATE,,"890,170","188,013", 4.7 
AROROY,,"85,776","17,087", 5.0 
BALENO,,"25,943","5,369", 4.8 
BALUD,,"38,082","7,867", 4.8 
BATUAN,,"15,047","3,625", 4.2 
CATAINGAN,,"50,202","10,833", 4.6 
CAWAYAN,,"67,028","15,063", 4.4 
CLAVERIA,,"43,692","9,173", 4.8 
DIMASALANG,,"26,189","5,430", 4.8 
ESPERANZA,,"18,565","4,097", 4.5 
MANDAON,,"41,077","8,741", 4.7 
CITY OF MASBATE (Capital),,"94,640","19,237", 4.9 
MILAGROS,,"57,217","11,494", 5.0 
MOBO,,"38,755","7,752", 5.0 
MONREAL,,"26,613","5,270", 5.0 
PALANAS,,"26,210","5,856", 4.5 
PIO V. CORPUZ (LIMBUHAN),,"23,224","5,285", 4.4 
PLACER,,"55,756","11,958", 4.7 
SAN FERNANDO,,"23,014","5,402", 4.3 
SAN JACINTO,,"30,302","7,065", 4.3 
SAN PASCUAL,,"46,674","9,836", 4.7 
USON,,"56,164","11,573", 4.9 
,,,,
SORSOGON,,"790,314","166,853", 4.7 
BARCELONA,,"20,990","4,794", 4.4 
BULAN,,"99,841","20,798", 4.8 
BULUSAN,,"22,850","5,307", 4.3 
CASIGURAN,,"32,684","7,107", 4.6 
CASTILLA,,"57,578","12,298", 4.7 
DONSOL,,"49,615","10,322", 4.8 
GUBAT,,"59,349","13,471", 4.4 
IROSIN,,"56,615","11,418", 5.0 
JUBAN,,"32,175","6,650", 4.8 
MAGALLANES,,"36,908","7,497", 4.9 
MATNOG,,"40,999","8,395", 4.9 
PILAR,,"74,488","15,032", 5.0 
PRIETO DIAZ,,"22,438","4,781", 4.7 
SANTA MAGDALENA,,"16,817","3,589", 4.7 
CITY OF SORSOGON (Capital),,"166,967","35,394", 4.7 
,,,,
REGION VI (WESTERN VISAYAS),,"4,464,277","1,014,987", 4.4 
,,,,
AKLAN,,"572,599","133,679", 4.3 
ALTAVAS,,"24,578","5,991", 4.1 
BALETE,,"28,920","6,999", 4.1 
BANGA,,"39,380","9,250", 4.3 
BATAN,,"32,029","7,967", 4.0 
BURUANGA,,"19,003","4,239", 4.5 
IBAJAY,,"49,527","11,019", 4.5 
KALIBO (Capital),,"80,041","17,930", 4.5 
LEZO,,"15,224","3,590", 4.2 
LIBACAO,,"28,238","6,575", 4.3 
MADALAG,,"18,385","4,260", 4.3 
MAKATO,,"27,223","6,581", 4.1 
MALAY,,"51,745","12,664", 4.1 
MALINAO,,"23,175","5,419", 4.3 
NABAS,,"36,393","7,918", 4.6 
NEW WASHINGTON,,"44,904","10,853", 4.1 
NUMANCIA,,"31,920","7,433", 4.3 
TANGALAN,,"21,914","4,991", 4.4 
,,,,
ANTIQUE,,"581,037","129,812", 4.5 
ANINI-Y,,"21,198","4,641", 4.6 
BARBAZA,,"22,703","5,504", 4.1 
BELISON,,"13,539","3,083", 4.4 
BUGASONG,,"33,642","7,396", 4.5 
CALUYA,,"35,393","8,024", 4.4 
CULASI,,"41,081","9,689", 4.2 
TOBIAS FORNIER (DAO),,"33,041","6,868", 4.8 
HAMTIC,,"48,592","10,535", 4.6 
LAUA-AN,,"26,055","6,080", 4.3 
LIBERTAD,,"16,429","3,639", 4.5 
PANDAN,,"34,297","7,825", 4.4 
PATNONGON,,"37,176","8,593", 4.3 
SAN JOSE (Capital),,"61,910","13,561", 4.6 
SAN REMIGIO,,"31,929","6,590", 4.8 
SEBASTE,,"17,907","4,029", 4.4 
SIBALOM,,"60,287","13,213", 4.6 
TIBIAO,,"26,734","6,348", 4.2 
VALDERRAMA,,"19,124","4,194", 4.6 
,,,,
CAPIZ,,"760,307","180,098", 4.2 
CUARTERO,,"27,408","6,446", 4.3 
DAO,,"32,482","7,750", 4.2 
DUMALAG,,"29,466","7,081", 4.2 
DUMARAO,,"46,157","11,067", 4.2 
IVISAN,,"29,043","6,738", 4.3 
JAMINDAN,,"36,677","8,576", 4.3 
MA-AYON,,"38,406","9,280", 4.1 
MAMBUSAO,,"39,604","9,702", 4.1 
PANAY,,"46,089","11,088", 4.2 
PANITAN,,"40,246","9,719", 4.1 
PILAR,,"45,244","10,757", 4.2 
PONTEVEDRA,,"46,338","11,298", 4.1 
PRESIDENT ROXAS,,"29,669","6,986", 4.2 
ROXAS CITY (Capital),,"166,210","37,816", 4.4 
SAPI-AN,,"25,821","6,197", 4.2 
SIGMA,,"30,134","7,418", 4.1 
TAPAZ,,"51,313","12,179", 4.2 
,,,,
ILOILO (excluding ILOILO CITY),,"1,931,532","435,723", 4.4 
AJUY,,"52,084","12,221", 4.3 
ALIMODIAN,,"38,380","8,067", 4.8 
ANILAO,,"28,679","6,561", 4.4 
BADIANGAN,,"27,005","5,897", 4.6 
BALASAN,,"33,070","8,090", 4.1 
BANATE,,"32,437","7,993", 4.1 
BAROTAC NUEVO,,"54,118","11,991", 4.5 
BAROTAC VIEJO,,"45,500","11,091", 4.1 
BATAD,,"21,298","5,154", 4.1 
BINGAWAN,,"15,199","3,467", 4.4 
CABATUAN,,"58,416","12,715", 4.6 
CALINOG,,"60,276","13,155", 4.6 
CARLES,,"68,123","15,278", 4.5 
CONCEPCION,,"43,110","10,202", 4.2 
DINGLE,,"45,318","10,414", 4.4 
DUE„AS,,"34,235","7,822", 4.4 
DUMANGAS,,"68,962","15,793", 4.4 
ESTANCIA,,"48,355","11,204", 4.3 
GUIMBAL,,"33,755","7,470", 4.5 
IGBARAS,,"31,918","7,022", 4.5 
JANIUAY,,"63,836","13,865", 4.6 
LAMBUNAO,,"73,527","15,934", 4.6 
LEGANES,,"32,377","7,033", 4.6 
LEMERY,,"30,824","7,839", 3.9 
LEON,,"49,795","10,755", 4.6 
MAASIN,,"36,905","7,384", 5.0 
MIAGAO,,"66,767","14,124", 4.7 
MINA,,"23,540","4,992", 4.7 
NEW LUCENA,,"23,219","5,006", 4.6 
OTON,,"88,988","20,460", 4.3 
CITY OF PASSI,,"80,279","19,288", 4.2 
PAVIA,,"55,414","12,825", 4.3 
POTOTAN,,"74,170","16,000", 4.6 
SAN DIONISIO,,"38,750","9,013", 4.3 
SAN ENRIQUE,,"33,874","7,638", 4.4 
SAN JOAQUIN,,"51,765","11,163", 4.6 
SAN MIGUEL,,"27,686","6,046", 4.6 
SAN RAFAEL,,"16,469","3,837", 4.3 
SANTA BARBARA,,"59,883","13,608", 4.4 
SARA,,"52,607","13,246", 4.0 
TIGBAUAN,,"62,698","13,359", 4.7 
TUBUNGAN,,"22,445","4,848", 4.6 
ZARRAGA,,"25,476","5,853", 4.4 
,,,,
ILOILO CITY (Capital),,"444,486","95,100", 4.7 
,,,,
GUIMARAS,,"174,316","40,575", 4.3 
BUENAVISTA,,"50,392","12,115", 4.2 
JORDAN (Capital),,"35,889","8,311", 4.3 
NUEVA VALENCIA,,"39,776","9,173", 4.3 
SAN LORENZO,,"26,104","5,995", 4.4 
SIBUNAG,,"22,155","4,981", 4.4 
,,,,
REGION VII (CENTRAL VISAYAS),,"6,008,987","1,388,475", 4.3 
,,,,
BOHOL,,"1,308,785","288,515", 4.5 
ALBURQUERQUE,,"10,508","2,422", 4.3 
ALICIA,,"23,421","5,105", 4.6 
ANDA,,"16,460","3,764", 4.4 
ANTEQUERA,,"14,425","3,482", 4.1 
BACLAYON,,"20,512","4,397", 4.7 
BALILIHAN,,"17,902","4,084", 4.4 
BATUAN,,"12,764","2,853", 4.5 
BILAR,,"17,522","3,768", 4.7 
BUENAVISTA,,"27,261","6,034", 4.5 
CALAPE,,"30,863","7,404", 4.2 
CANDIJAY,,"29,427","6,771", 4.3 
CARMEN,,"46,087","10,306", 4.5 
CATIGBIAN,,"22,675","5,124", 4.4 
CLARIN,,"20,245","4,623", 4.4 
CORELLA,,"8,451","1,908", 4.4 
CORTES,,"16,917","3,630", 4.7 
DAGOHOY,,"19,158","4,176", 4.6 
DANAO,,"17,889","3,921", 4.6 
DAUIS,,"45,500","9,900", 4.6 
DIMIAO,,"14,295","3,227", 4.4 
DUERO,,"17,854","4,017", 4.4 
GARCIA HERNANDEZ,,"24,192","4,993", 4.8 
GUINDULMAN,,"32,338","7,234", 4.5 
INABANGA,,"45,861","9,896", 4.6 
JAGNA,,"33,874","7,506", 4.5 
GETAFE,,"30,955","6,487", 4.8 
LILA,,"12,224","2,090", 5.8 
LOAY,,"16,680","3,578", 4.7 
LOBOC,,"15,993","3,483", 4.6 
LOON,,"42,813","9,952", 4.3 
MABINI,,"27,150","6,254", 4.3 
MARIBOJOC,,"20,675","4,748", 4.4 
PANGLAO,,"33,244","7,020", 4.7 
PILAR,,"27,209","5,975", 4.6 
PRES. CARLOS P. GARCIA (PITOGO),,"23,355","5,164", 4.5 
SAGBAYAN (BORJA),,"22,307","5,157", 4.3 
SAN ISIDRO,,"8,740","2,198", 4.0 
SAN MIGUEL,,"24,130","5,396", 4.5 
SEVILLA,,"10,661","2,240", 4.8 
SIERRA BULLONES,,"24,734","5,412", 4.6 
SIKATUNA,,"6,708","1,515", 4.4 
TAGBILARAN CITY (Capital),,"102,448","21,863", 4.7 
TALIBON,,"66,796","14,335", 4.7 
TRINIDAD,,"31,923","6,857", 4.7 
TUBIGON,,"45,872","10,356", 4.4 
UBAY,,"73,589","16,578", 4.4 
VALENCIA,,"27,067","5,587", 4.8 
BIEN UNIDO,,"27,111","5,725", 4.7 
,,,,
"CEBU (excluding the cities of CEBU, LAPU-LAPU, and MANDAUE)",,"2,928,034","669,322", 4.4 
ALCANTARA,,"15,155","3,444", 4.4 
ALCOY,,"16,979","3,388", 5.0 
ALEGRIA,,"23,262","5,028", 4.6 
ALOGUINSAN,,"32,098","6,901", 4.7 
ARGAO,,"72,132","16,574", 4.4 
ASTURIAS,,"47,832","10,222", 4.7 
BADIAN,,"37,902","8,218", 4.6 
BALAMBAN,,"86,953","19,614", 4.4 
BANTAYAN,,"78,867","18,494", 4.3 
BARILI,,"73,783","15,778", 4.7 
CITY OF BOGO,,"77,915","19,360", 4.0 
BOLJOON,,"16,320","3,374", 4.8 
BORBON,,"35,526","8,420", 4.2 
CITY OF CARCAR,,"119,352","27,149", 4.4 
CARMEN,,"51,145","11,265", 4.5 
CATMON,,"30,460","6,940", 4.4 
COMPOSTELA,,"47,771","10,880", 4.4 
CONSOLACION,,"131,161","30,625", 4.3 
CORDOVA,,"59,601","13,324", 4.5 
DAANBANTAYAN,,"84,350","19,790", 4.3 
DALAGUETE,,"67,450","14,433", 4.7 
DANAO CITY,,"135,987","31,611", 4.3 
DUMANJUG,,"51,185","10,960", 4.7 
GINATILAN,,"15,919","3,380", 4.7 
LILOAN,,"118,515","27,847", 4.3 
MADRIDEJOS,,"36,388","8,113", 4.5 
MALABUYOC,,"19,369","3,817", 5.1 
MEDELLIN,,"54,874","12,836", 4.3 
MINGLANILLA,,"129,649","30,599", 4.2 
MOALBOAL,,"31,109","7,284", 4.3 
CITY OF NAGA,,"115,409","26,177", 4.4 
OSLOB,,"27,889","5,998", 4.6 
PILAR,,"11,302","2,989", 3.8 
PINAMUNGAHAN,,"65,937","13,874", 4.8 
PORO,,"25,200","6,104", 4.1 
RONDA,,"20,360","4,823", 4.2 
SAMBOAN,,"20,884","4,510", 4.6 
SAN FERNANDO,,"66,257","14,258", 4.6 
SAN FRANCISCO,,"55,157","12,278", 4.5 
SAN REMIGIO,,"57,494","14,470", 4.0 
SANTA FE,,"28,533","6,779", 4.2 
SANTANDER,,"17,857","4,256", 4.2 
SIBONGA,,"48,135","11,350", 4.2 
SOGOD,,"35,096","8,452", 4.2 
TABOGON,,"39,013","9,628", 4.1 
TABUELAN,,"25,623","6,415", 4.0 
CITY OF TALISAY,,"224,075","51,239", 4.4 
TOLEDO CITY,,"169,714","38,259", 4.4 
TUBURAN,,"63,803","15,028", 4.2 
TUDELA,,"11,287","2,767", 4.1 
,,,,
CEBU CITY (Capital),,"910,678","213,781", 4.3 
,,,,
LAPU-LAPU CITY (OPON),,"406,353","99,573", 4.1 
,,,,
MANDAUE CITY,,"359,777","94,547", 3.8 
,,,,
SIQUIJOR,,"95,360","22,737", 4.2 
ENRIQUE VILLANUEVA,,"6,078","1,476", 4.1 
LARENA,,"13,438","3,115", 4.3 
LAZI,,"20,468","5,011", 4.1 
MARIA,,"13,816","3,164", 4.4 
SAN JUAN,,"14,854","3,579", 4.2 
SIQUIJOR (Capital),,"26,706","6,392", 4.2 
,,,,
NEGROS ISLAND REGION (NIR) 6,,"4,402,196","1,012,323", 4.3 
,,,,
NEGROS OCCIDENTAL (excluding BACOLOD CITY) 7,," 2,492,432 "," 572,574 ", 4.4 
BAGO CITY,," 170,447 "," 39,949 ", 4.3 
BINALBAGAN,," 67,136 "," 15,092 ", 4.4 
CADIZ CITY,," 154,504 "," 35,657 ", 4.3 
CALATRAVA,," 80,558 "," 18,431 ", 4.4 
CANDONI,," 21,768 "," 4,962 ", 4.4 
CAUAYAN,," 102,146 "," 22,858 ", 4.5 
ENRIQUE B. MAGALONA (SARAVIA),," 62,870 "," 14,664 ", 4.3 
CITY OF ESCALANTE,," 93,889 "," 21,544 ", 4.4 
CITY OF HIMAMAYLAN,," 106,643 "," 25,677 ", 4.2 
HINIGARAN,," 85,585 "," 20,577 ", 4.2 
HINOBA-AN (ASIA),," 56,803 "," 12,538 ", 4.5 
ILOG,," 57,356 "," 13,066 ", 4.4 
ISABELA,," 62,043 "," 13,801 ", 4.5 
CITY OF KABANKALAN,," 181,539 "," 40,351 ", 4.5 
LA CARLOTA CITY,," 64,321 "," 16,287 ", 3.9 
LA CASTELLANA,," 74,731 "," 17,208 ", 4.3 
MANAPLA,," 54,762 "," 13,038 ", 4.2 
MOISES PADILLA (MAGALLON),," 41,330 "," 8,870 ", 4.7 
MURCIA,," 80,835 "," 18,517 ", 4.4 
PONTEVEDRA,," 51,845 "," 12,077 ", 4.3 
PULUPANDAN,," 27,718 "," 6,416 ", 4.3 
SAGAY CITY,," 146,005 "," 33,488 ", 4.4 
SAN CARLOS CITY,," 132,163 "," 31,002 ", 4.3 
SAN ENRIQUE,," 23,907 "," 5,587 ", 4.3 
SILAY CITY,," 126,475 "," 28,953 ", 4.4 
CITY OF SIPALAY,," 69,948 "," 14,803 ", 4.7 
CITY OF TALISAY,," 101,864 "," 23,107 ", 4.4 
TOBOSO,," 42,089 "," 9,745 ", 4.3 
VALLADOLID,," 37,830 "," 8,887 ", 4.3 
CITY OF VICTORIAS,," 87,683 "," 19,556 ", 4.5 
SALVADOR BENEDICTO,," 25,639 "," 5,866 ", 4.4 
,,,,
BACOLOD CITY (Capital),,"558,851","129,076", 4.3 
,,,,
NEGROS ORIENTAL 8,,"1,350,913","310,673", 4.3 
AMLAN (AYUQUITAN),,"23,624","5,525", 4.3 
AYUNGON,,"46,248","10,573", 4.4 
BACONG,,"36,472","8,265", 4.4 
BAIS CITY,,"76,137","17,693", 4.3 
BASAY,,"26,526","5,971", 4.4 
CITY OF BAYAWAN (TULONG),,"117,572","25,646", 4.6 
BINDOY (PAYABON),,"39,819","8,702", 4.6 
CANLAON CITY,,"54,294","12,692", 4.3 
DAUIN,,"27,776","6,520", 4.3 
DUMAGUETE CITY (Capital),,"129,226","29,750", 4.3 
CITY OF GUIHULNGAN,,"95,697","22,518", 4.2 
JIMALALUD,,"30,935","7,191", 4.3 
LA LIBERTAD,,"38,564","9,187", 4.2 
MABINAY,,"78,789","17,709", 4.4 
MANJUYOD,,"42,213","9,943", 4.2 
PAMPLONA,,"37,596","8,714", 4.3 
SAN JOSE,,"20,413","4,607", 4.4 
SANTA CATALINA,,"75,725","16,873", 4.5 
SIATON,,"77,583","17,857", 4.3 
SIBULAN,,"59,260","13,903", 4.3 
CITY OF TANJAY,,"80,418","19,043", 4.2 
TAYASAN,,"35,465","8,623", 4.1 
VALENCIA (LUZURRIAGA),,"34,808","7,990", 4.4 
VALLEHERMOSO,,"38,201","8,571", 4.5 
ZAMBOANGUITA,,"27,552","6,607", 4.2 
,,,,
REGION VIII (EASTERN VISAYAS),,"4,425,172","986,003", 4.5 
,,,,
EASTERN SAMAR,,"465,426","106,324", 4.4 
ARTECHE,,"16,006","3,505", 4.6 
BALANGIGA,,"14,054","3,277", 4.3 
BALANGKAYAN,,"10,122","2,375", 4.3 
CITY OF BORONGAN (Capital),,"68,464","15,120", 4.5 
CAN-AVID,,"20,973","4,505", 4.7 
DOLORES,,"42,753","9,451", 4.5 
GENERAL MACARTHUR,,"14,509","3,034", 4.8 
GIPORLOS,,"13,299","3,224", 4.1 
GUIUAN,,"52,769","12,448", 4.2 
HERNANI,,"8,542","2,060", 4.1 
JIPAPAD,,"7,865","1,728", 4.6 
LAWAAN,,"12,734","3,021", 4.2 
LLORENTE,,"20,142","4,768", 4.2 
MASLOG,,"5,407","1,077", 5.0 
MAYDOLONG,,"14,671","3,247", 4.5 
MERCEDES,,"6,062","1,530", 4.0 
ORAS,,"36,463","8,618", 4.2 
